event_date,gazeteer_distance,latitude,longitude
03/02/2012 12:00:00 AM,24.117079999999998,-38.2907,177.3655
06/04/2012 12:00:00 AM,5.75285,-38.2662,145.014
07/08/2010 12:00:00 AM,56.06981999999999,-38.2134,178.3197
04/25/2010 09:00:00 PM,3.8392,-38.1951,145.134
07/07/2017 01:16:00 PM,,-38.18869842,177.29382569999999
11/14/2007 02:00:00 AM,6.826789999999999,-38.1718,146.392
12/13/2008 12:00:00 AM,1.55589,-38.1583,144.35
02/24/2015 12:00:00 AM,1.6378,-38.1543,145.11
10/02/2016 12:00:00 AM,38.39413,-38.0195,143.4171
06/18/2011 09:00:00 AM,5.3826,-37.9673,177.0457
05/27/2010 11:00:00 PM,4.05799,-37.9622,177.0314
07/14/2015 11:00:00 PM,0.7742,-37.8558,145.1147
11/11/2016 03:00:00 PM,,-37.839925,177.595887
10/02/2016 12:00:00 AM,44.56622,-37.8145,143.4041
09/29/2011 12:00:00 AM,2.4948200000000003,-37.8023,145.0218
06/04/2012 12:00:00 AM,43.81566,-37.7846,146.2243
01/14/2011 01:25:00 PM,2.0320400000000003,-37.7383,145.1344
04/06/2017 05:55:00 PM,,-37.73674273,176.2877483
01/29/2011 08:00:00 AM,8.13076,-37.7239,176.5249
04/06/2017 01:19:00 PM,,-37.63770028,176.0447055
04/12/2017 01:34:00 PM,,-37.63075881,176.0458175
05/11/2011 12:00:00 AM,12.3585,-37.6304,176.0454
01/01/2010 11:00:00 PM,20.11165,-37.5947,145.2842
10/02/2016 12:00:00 AM,9.425410000000001,-37.5825,175.1538
01/01/2010 11:00:00 PM,20.427989999999998,-37.5803,145.2737
03/06/2017 10:33:00 PM,,-37.270678000000004,175.883064
03/12/2017 03:09:00 PM,,-37.267461,175.069486
03/07/2017 06:03:00 PM,,-37.193542,175.848165
10/02/2016 12:00:00 AM,8.67906,-37.1577,175.6348
09/04/2010 09:00:00 AM,32.990629999999996,-37.1475,146.4399
03/07/2017 06:03:00 PM,,-37.122322,175.84498
08/25/2008 12:00:00 AM,0.7250300000000001,-36.9929,174.888
09/04/2010 12:00:00 AM,27.550309999999996,-36.9829,147.1399
07/18/2016 12:00:00 AM,67.49174000000001,-36.9706,148.3028
07/01/2017 04:00:00 PM,,-36.95665535,175.2344014
05/15/2013 12:00:00 AM,7.80117,-36.9516,174.57
04/05/2017 01:19:00 PM,,-36.95034055,174.64940780000003
03/11/2017 04:09:00 PM,,-36.943557,174.648774
08/25/2016 06:59:00 PM,,-36.933713,174.57834
10/02/2016 12:00:00 AM,19.212870000000002,-36.9322,175.4632
03/11/2017 04:09:00 PM,,-36.897886,174.656243
08/23/2013 11:00:00 AM,17.35105,-36.8642,147.2871
06/04/2015 09:00:00 AM,1.43565,-36.8631,174.7821
04/05/2017 01:19:00 PM,,-36.84933303,174.8388783
04/18/2017 05:47:00 PM,,-36.84918114,174.9031757
09/04/2010 12:00:00 AM,13.30662,-36.8415,147.2468
03/11/2017 05:22:00 PM,,-36.798102,175.084997
03/07/2017 07:24:00 PM,,-36.796594,175.052231
01/29/2011 08:00:00 AM,18.84621,-36.7929,175.0955
03/07/2017 07:24:00 PM,,-36.784719,175.01675600000002
10/06/2016 12:00:00 AM,4.8015,-36.7654,147.2151
07/14/2010 12:00:00 AM,22.750120000000003,-36.7109,146.9226
03/01/2012 08:00:00 AM,32.33243,-36.7056,146.8154
09/08/2009 12:00:00 AM,2.72086,-36.6203,-72.1287
12/08/2015 06:30:00 PM,35.24488,-36.6184,146.8092
07/01/2017 06:45:00 PM,,-36.61481695,174.7227399
03/05/2012 12:00:00 AM,36.13089,-36.6008,149.4481
01/04/2016 12:00:00 AM,27.8368,-36.5818,149.5523
10/02/2016 12:00:00 AM,16.28716,-36.5438,174.7033
12/04/2009 12:00:00 AM,12.477730000000001,-36.5124,174.6706
12/04/2009 12:00:00 AM,12.48082,-36.5119,174.6807
12/04/2009 12:00:00 AM,12.49996,-36.5115,174.6865
02/17/2017 08:04:00 PM,,-35.816632399999996,173.7165281
09/28/2009 12:00:00 PM,0.97954,-35.7229,174.3227
04/18/2017 05:47:00 PM,,-35.62543214,174.53708369999998
01/29/2011 08:00:00 AM,15.90056,-35.5035,173.9379
06/26/2013 12:00:00 AM,11.02125,-35.3515,149.7484
01/29/2011 08:00:00 AM,5.04162,-35.3261,174.0922
01/29/2011 08:00:00 AM,18.19906,-35.3258,173.6835
10/10/2016 12:00:00 AM,0.64439,-35.1941,138.4697
02/23/2008 12:00:00 AM,26.481820000000003,-35.047,173.7463
10/02/2016 12:00:00 AM,2.3386,-34.9693,138.681
08/12/2015 12:00:00 AM,1.8569099999999998,-34.9538,138.6814
06/03/2010 11:00:00 PM,1.26486,-34.4075,150.8535
11/16/2013 11:00:00 PM,18.999370000000003,-34.2232,18.8279
02/26/2017 05:31:00 PM,,-34.21042,-70.737359
09/07/2009 08:00:00 AM,25.30561,-34.2,-71.0167
01/06/2017 07:12:00 PM,,-34.18516324,150.7164558
03/21/2011 09:00:00 AM,1.50863,-34.1564,150.6131
